geGloss|geSentence|viSentence
HEUTE NACHT BAYERN PUNKT REGEN KOENNEN|heute nacht gibt es in bayern zunächst noch hier und da regen|Tối nay có mưa ở đây và ở Bavaria
WEST NORD KOENNEN BISSCHEN REGEN SONST REGION KLAR TEILWEISE AUCH WOLKE|auch im westen sowie an den küsten kann es örtlich etwas regnen sonst teils klar teils wolkig|Cũng ở phía tây và trên bờ biển, trời có thể mưa cục bộ, nếu không thì rõ ràng một phần mây
TEILWEISE NEBEL MORGEN LANG SO BLEIBEN SO BLEIBEN KOENNEN|gebietsweise bildet sich nebel der sich morgen zum teil längere zeit halten kann|Ở một số khu vực, các hình thức sương mù có thể tự giữ trong một thời gian dài vào ngày mai
WEST NORD WOLKE DICK BEDEUTEN PUNKT BISSCHEN REGEN KOENNEN|im westen und norden tauchen gelegentlich dichtere wolken auf und bringen stellenweise etwas regen|Ở phía tây và phía bắc, những đám mây dày hơn thỉnh thoảng xuất hiện và mang lại mưa ở những nơi
SONST REGION MISCHUNG SONNE WOLKE|ansonsten gibt es eine mischung aus sonne und wolken|Nếu không, có một hỗn hợp của mặt trời và mây
MORGEN SCHWACH WIND PUNKT MAESSIG WIND PUNKT STARK WIND|morgen schwacher im norden mäßiger bis frischer wind aus süd bis ost an den küsten starke böen|Ngày mai yếu ở phía bắc gió từ trung bình đến mới từ nam sang đông trên bờ biển mạnh mẽ
ALLGAEU SECHS GRAD KOELN REGION VIERZEHN GRAD MILD POSS SEIN|im allgäu heute nacht sechs in der kölner bucht milde vierzehn grad|Trong Allgäu Six trong Vịnh Cologne tối nay, mười bốn độ
MORGEN DREIZEHN GRAD REGION BIS DREI ZWANZIG REGION|morgen reichen die temperaturen von dreizehn grad im erzgebirge bis dreiundzwanzig grad im breisgau|Ngày mai nhiệt độ của mười ba độ ở dãy núi quặng đến hai mươi độ trong phạm vi Breisgau
DONNERSTAG FREITAG DANN NEBEL DICK VERSCHWINDEN DANN FREUNDLICH MILD|donnerstag und freitag bleibt es nach auflösung von zum teil zähen nebelfeldern recht freundlich und mild|Thứ Năm và Thứ Sáu, nó vẫn khá thân thiện và ôn hòa sau khi giải thể những cánh đồng sương mù đôi khi khó khăn
SAMSTAG WIE IMMER ABER BISSCHEN MEHR KUEHL SINKEN|auch am samstag ändert sich an diesem wetter wenig es wird allerdings etwas kühler|Tuy nhiên, ít thay đổi về thời tiết này vào thứ bảy
JETZT WETTER WIE AUSSEHEN MORGEN FREITAG SECHSTE AUGUST|und nun die wettervorhersage für morgen freitag den sechsten august|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu ngày thứ sáu
SUED DEUTSCHLAND REGEN|in süddeutschland regnet es ergiebig|Ở miền nam nước Đức, nó mưa hiệu quả
DESHALB DAZWISCHEN HOCH MORGEN WEST BESSER|ein zwischenhoch bringt morgen dem westen schon eine wetterbesserung|Một mức cao trung gian sẽ mang lại cho phương Tây cải thiện thời tiết vào ngày mai
BAYERN PUNKT NACHT DURCHGEHEND GEWITTER DEUTSCH WETTER DIENST WARNUNG|für weite teile bayerns gelten auch die nacht noch hindurch unwetterwarnung des deutschen wetterdienstes|Đối với các phần lớn của Bavaria, đêm vẫn áp dụng cho cảnh báo thời tiết khắc nghiệt của Dịch vụ thời tiết Đức
DAUERND DURCHGEHEND REGEN KOENNEN|gewarnt wird vor dauerregen|Cảnh báo được cảnh báo về mưa liên tục
AUCH GEWITTER DABEI|auch gewitter sind dabei|Ngoài ra còn có những cơn bão
WEST NORDWEST FREUNDLICH|im westen und nordwesten ist es meist freundlich|Nó thường thân thiện ở phía tây và tây bắc
WIND SCHWACH WEHEN SCHAUER GEWITTER STARK WEHEN|der wind weht schwach bis mäßig bei schauern und gewittern starke böen|Gió thổi yếu đến vừa phải với vòi hoa sen và giông bão mạnh mẽ
ABEND NACHT NORD SECHSZEHN WEST NUR SIEBEN|heute nacht an der ostsee sechzehn grad im westen teilweise nur sieben grad|Tối nay tại Biển Baltic mười sáu độ ở phương Tây chỉ có bảy độ
TAG VIERZEHN ALPEN FUENF ZWANZIG BERLIN PUNKT|am tag vierzehn grad an den alpen fünfundzwanzig grad in berlin|Vào ngày mười bốn độ trên dãy Alps hai mươi độ ở Berlin
SAMSTAG SUEDOST NORDWEST BISSCHEN SCHAUER REGION FREUNDLICH|am samstag im südosten und im nordwesten hier und da schauer sonst ist es freundlich|Vào thứ bảy ở Đông Nam và Tây Bắc ở đây và ở đó, nó rất thân thiện nếu không nó thân thiện
SONNTAG ALLGEMEIN WECHSELHAFT|am sonntag ist es insgesamt schon wieder unbeständiger|Nhìn chung, nó đã không nhất quán hơn vào Chủ nhật
MONTAG MEHR SONNE WOLKE WENIG BISSCHEN SCHAUER|am montag mehr sonne als wolken und nur vereinzelt ein paar schauer|Vào thứ hai, nhiều ánh nắng hơn những đám mây và chỉ một vài vòi hoa sen
TIEF DRUCK WOHER MEER KOMMEN MITTE EUROPA KOMMEN HIER DEUTSCHLAND VIEL REGEN MOEGLICH|eine tiefdruckzone die vom atlantik bis nach mitteleuropa reicht bringt uns zum teil unwetterartigen regen|Một vùng áp suất thấp kéo dài từ Đại Tây Dương đến Trung Âu mang đến cho chúng ta một phần mưa giống như bão
SCHON DEUTSCH WETTER DIENST WARNUNG|es bestehen entsprechende warnungen des deutschen wetterdienstes|Có những cảnh báo tương ứng về dịch vụ thời tiết Đức
DAZU MOEGLICH GEWITTER AUCH UNWETTER MOEGLICH VORSICHT|außerdem kann es gebietsweise heftig gewittern auch da steckt unwetterpotenzial drin|Ngoài ra, nó cũng có thể là những cơn bão dữ dội ở một số người có tiềm năng bão trong đó
BRAND BURG MUENSTER LAND ZONE HEUTE NACHT REGEN MITTE MOEGLICH GEWITTER|in einem breiten streifen vom münsterland bis nach brandenburg fällt heute nacht ergiebiger dauerregen vor allem in der mitte sind heftige gewitter unterwegs|Trong một dải rộng từ Münsterland đến Brandenburg, những cơn mưa liên tục mạnh mẽ, đặc biệt là ở giữa, có những cơn bão dữ dội
MORGEN HAUPTSAECHLICH REGEN REGION AUCH GEWITTER MOEGLICH SCHWER GEWITTER NORD NACH MITTAG BESSER KLAR HIMMEL|am tag gibt es verbreitet teilweise starken regen und schauer in der südhälfte auch kräftige gewitter von der nordsee lockert es am nachmittag zunehmend auf|Vào ban ngày, có mưa lớn và tắm ở nửa phía nam, ngay cả những cơn bão mạnh mẽ từ Biển Bắc đã nới lỏng nó vào buổi chiều
NAH REGEN MEER MOEGLICH STURM REGION HAUPTSAECHLICH SCHWACH MAESSIG OST REGION FRISCH WEHEN MOEGLICH|in schauer und gewitternähe sowie auf den bergen sind schwere sturmböen möglich sonst schwacher bis mäßiger im osten zeitweise frischer wind aus westlichen richtungen|Trong cơn sặc sỡ và giông bão cũng như trên núi, những cơn gió mạnh là có thể, nếu không thì yếu đến trung bình ở phía đông
HEUTE NACHT NORD REGION ELF GRAD FLUSS NEUNZEHN GRAD|elf grad heute nacht im norden bis neunzehn grad am oberrhein|Mười một độ tối nay ở phía bắc đến mười chín độ ở Thượng Rhine
MORGEN PUNKT DREI ZWANZIG GRAD NORDOST SECHSZEHN GRAD MEHR KUEHL|dort morgen bis dreiundzwanzig im nordosten frische sechzehn grad|Có ngày mai đến hai mươi -ba ở vùng Đông Bắc mới mười sáu độ
WOCHENENDE WETTER WECHSELHAFT ABER NEG GEWITTER|am wochenende bleibt es wechselhaft immerhin ohne unwetter|Ít nhất nó vẫn không có bão vào cuối tuần
NICHT MEHR KUEHL BLEIBEN|dabei ist es recht kühl|Nó khá tuyệt
AUCH MONTAG AB MEHR WOLKE SONNE WENIG MOEGLICH REGEN ODER REGEN ODER GEWITTER|auch die neue woche startet mit mehr wolken als sonne zeitweise gibt es regen oder schauer örtlich auch gewitter|Tuần mới cũng bắt đầu với nhiều đám mây hơn mặt trời đôi khi có mưa hoặc vòi hoa sen tại địa phương cũng có giông bão
JETZT MORGEN WETTER WIE AUSSEHEN MORGEN FUENF ZWANZIG OKTOBER|und nun die wettervorhersage für morgen sonntag den fünfundzwanzigsten oktober|Và bây giờ dự báo thời tiết cho ngày mai Chủ nhật
SCHOTTLAND TIEF KOMMEN DEUTSCH LAND KOMMEN MORGEN AUCH|die ausläufer eines tiefs bei schottland überqueren deutschland heute nacht und morgen|Chân đồi thấp ở Scotland Cross Đức tối nay và ngày mai
PUNKT REGION LUFT MILD KOMMEN|dabei wird milde atlantikluft herangeführt|Không khí Đại Tây Dương được giới thiệu
MONTAG DIENSTAG ZWISCHEN SEHR HOCH KOMMEN NORD WECHSELHAFT|anfang kommender woche setzt sich im süden hochdruck durch im norden bleibt es noch wechselhaft|Vào đầu tuần tới, áp lực cao ở miền Nam ở phía bắc, nó vẫn có thể thay đổi
NORDWEST REGEN KOMMEN|die regenwolken über dem westen und nordwesten ziehen ostwärts|Những đám mây mưa ở phía tây và tây bắc di chuyển về phía đông
MORGEN OFT WEST AUFLOESEN NEBEL KOMMEN REGEN|in der zweiten nachthälfte lockert es im westen auf örtlich bildet sich nebel|Trong nửa thứ hai của đêm, nó lỏng lẻo ở phía tây để tạo thành sương mù địa phương
NACHT ZWOELF BIS FUENF GRAD BAYERN KOENNEN NUR ZWEI EINS GRAD|heute nacht tiefstwerte zwischen zwölf und fünf grad in bayern örtlich ein grad|Lows giữa mười hai đến năm độ ở Bavaria để được địa phương vào một độ tối nay một độ
WIE AUSSEHEN IN KOMMEND MONTAG SUEDOST TROCKEN FREUNDLICH SONST REGION WOLKE REGEN|die aussichten am montag im süden und osten trocken und teilweise freundlich sonst wolken und etwas regen|Triển vọng vào thứ Hai ở phía nam và phía đông những đám mây khô và đôi khi thân thiện và một số mưa
DIENSTAG MITTWOCH WECHSELHAFT DURCHEINANDER NEBEL SONNE WOLKE UND SO-WEITER REGEN WENIG|am dienstag und mittwoch erwartet uns eine mischung aus nebel sonne und einigen wolken regen fällt nur wenig|Vào thứ ba và thứ tư, một hỗn hợp của mặt trời sương mù đang chờ chúng ta và một số đám mây mưa rơi xuống
MORGEN WETTER WIE AUSSEHEN MITTWOCH ERSTE JUNI|und nun die wettervorhersage für morgen mittwoch den ersten juni|Và bây giờ dự báo thời tiết cho ngày mai thứ tư
TIEF KOMMEN DEUTSCH LAND REGEN HIMMEL KOENNEN|tiefer luftdruck bringt teilen deutschlands noch gebietsweise unwetterartige gewittrige oder auch länger anhaltende regenfälle|Áp suất không khí sâu đưa các bộ phận của Đức vào cơn bão -giống như mưa lớn hoặc dài
HEUTE NACHT SUED NORD REGEN VIEL NORD REGION HABEN REGEN REGION|in der nacht im süden und osten ergiebige regenfälle zwischen ostsee und bayern teilweise unwetterartige gewitter|Trong đêm ở phía nam và phía đông, những cơn mưa hiệu quả giữa Biển Baltic và Bavaria đôi khi như cơn bão như cơn bão
SUED VOR MITTAG REGEN OST SCHAUER NORDWEST KOMMEN SONNE|im süden regnet es am vormittag noch kräftig im osten noch schauer im norden und westen kommt mehr und mehr die sonne zum vorschein|Ở miền Nam, trời vẫn còn mưa lớn ở phía đông vào buổi sáng và phương Tây ngày càng sáng
SCHAUER GEWITTER STURM WEHEN KOENNEN SONST WIND SCHWACH MAESSIG|bei schauern und gewittern sind sturmböen möglich sonst weht der wind meist mäßig|Trong trường hợp mưa rào và giông bão, gió gió là có thể, nếu không gió thường sẽ thổi vừa phải
HEUTE NACHT OST FUENFZEHN GRAD FUENF GRAD REGION|heute nacht fünfzehn grad ganz im osten fünf grad in der eifel|Tối nay mười lăm độ ở phía đông năm độ trong eifel
ELF GRAD REGION SUED BIS ZWEI ZWANZIG GRAD REGION|am tag elf grad bei dauerregen im süden bis zweiundzwanzig grad in der lausitz|Vào ngày mười một độ trong mưa liên tục ở phía nam đến hai mươi độ ở Lusatia
DONNERSTAG VIEL SONNE SUED REGION SCHAUER|am donnerstag viel sonne südlich der donau einzelne schauer|Vào thứ năm, rất nhiều mặt trời phía nam của những cơn mưa rào cá nhân Danube
FREITAG SONNE WOLKE WECHSELHAFT NACH MITTAG PUNKT KOENNEN REGEN PUNKT|am freitag sonne und wolken ab dem nachmittag einzelne kräftige gewitterschauer|Vào thứ sáu mặt trời và những đám mây từ buổi chiều, những cơn bão mạnh mẽ cá nhân
JETZT WETTER VORAUSSAGE MORGEN MITTWOCH VIERZEHN JULI|und nun die wettervorhersage für morgen mittwoch den vierzehnten juli|Và bây giờ dự báo thời tiết cho ngày mai thứ tư, thứ mười bốn
DANN DONNERSTAG WEST KOMMEN REGEN KOENNEN PUNKT|in der nacht zum donnerstag muss von westen erneut mit lokalen unwettern gerechnet werden|Vào đêm thứ năm, các cơn bão địa phương phải được dự kiến từ phương Tây một lần nữa
HEUTE ABEND NACHT BISSCHEN REGEN AUFLOESEN GEWITTER WENIGER KLAR HIMMEL STERN KOENNEN SEHEN|heute nacht klingen letzte schauer und gewitter ab dann ist es meist klar oder nur locker bewölkt|Tắm và giông bão cuối cùng tối nay thì nó thường rõ ràng hoặc chỉ có mây mây
TAG BEWOELKT SONNE DABEI|am tag scheint verbreitet die sonne hier und da ein paar quellwolken|Vào ban ngày, mặt trời có vẻ lan rộng ở đây và có một vài đám mây mùa xuân
BERG OBEN KOENNEN GEWITTER GRUND HEISS|über den bergen können sich einzelne hitzegewitter entwickeln|Chuỗi sưởi ấm cá nhân có thể phát triển trên các ngọn núi
NACH MITTAG ABEND WEST KOMMEN REGEN KOMMEN KOENNEN GEWITTER|im laufe des nachmittags und abends breiten sich von westen schauer und gewitter aus die örtlich unwetterpotenzial haben|Trong suốt buổi chiều và buổi tối, tiềm năng bão địa phương lan ra từ phía tây và giông bão
WIND SCHWACH MAESSIG KOMMEN|schwacher bis mäßiger an der see auch frischer wind aus süd bis südost|Yếu đến trung bình trên hồ cũng là một cơn gió mới từ nam sang đông nam
SUED MORGEN BIS SECHS DREISSIG GRAD NORD SCHWUEL NEG HABEN SIEBEN ZWANZIG BIS NEUN ZWANZIG GRAD|dort morgen bis sechsunddreißig grad an der see nicht so brütend heiße siebenundzwanzig bis neunundzwanzig grad|Có ngày mai lên đến ba mươi độ trên hồ không quá nóng bỏng hai mươi đến hai mươi độ
DONNERSTAG DANN TEILWEISE GEWITTER KOMMEN REGION FREUNDLICH SONNE NICHT MEHR|am donnerstag verlagern sich die teilweise heftigen gewitter nach osten richtung westen wird es wieder freundlicher und nicht mehr so heiß|Vào thứ năm, những cơn bão đôi khi bạo lực di chuyển về phía đông về phía tây, nó trở nên thân thiện hơn và không còn nóng nữa
HEUTE NACHT OST REGEN|heute nacht regnet oder schneit es noch im äußersten osten und südosten|Tối nay trời mưa hoặc tuyết ở Viễn Đông và Đông Nam
NORD REGEN|richtung nordsee fallen regenschauer|Mưa mưa rơi xuống Biển Bắc
MORGEN UEBERWIEGEND FREUNDLICH PUNKT SCHAUER|am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer|Vào ban ngày, nó hầu hết thân thiện và chỉ thỉnh thoảng tắm
ABEND WEST SUED BISSCHEN REGEN|gegen abend beginnt es dann im westen und südwesten hier und da zu regnen|Vào buổi tối, trời bắt đầu mưa ở đây và ở phía tây và tây nam
HIER WIND SCHWACH MAESSIG WEST NORD WIND|der wind weht schwach bis mäßig im westen und nordwesten teilweise auch frisch|Gió thổi yếu đến vừa phải ở phía tây và tây bắc, đôi khi tươi
HEUTE NACHT FLUSS DREI MINUS SECHS ALPEN|heute nacht drei grad an der oder minus sechs grad an den alpen|Tối nay ba độ trên hoặc trừ sáu độ trên dãy Alps
VORSICHT GLATT|vorsicht wegen glätte|Coi chừng sự mượt mà
MORGEN SIEBEN LAND VIERZEHN FLUSS|am tag sieben grad im bayerischen wald und vierzehn grad am rhein|Vào ngày bảy độ trong rừng Bavaria và mười bốn độ trên sông Rhine
OSTERN MONTAG AUCH REGEN HOCH SCHNEE|auch am ostermontag regnet es stellenweise in höheren lagen auch schnee|Cũng vào Thứ Hai Phục Sinh, trời mưa ở những nơi ở độ cao cao hơn cũng có tuyết
MORGEN WETTER WIE AUSSEHEN PFINGSTEN MONTAG VIER ZWANZIG MAI|und nun die wettervorhersage für morgen pfingstmontag den vierundzwanzigsten mai|Và bây giờ dự báo thời tiết cho ngày mai vào thứ Hai trắng
NORD HEUTE NACHT WOLKE KOMMEN PUNKT KOENNEN REGEN BLITZ DONNER KOENNEN|von norden wird es heute nacht zunehmend wolkiger hier und da gibt es regen oder schauer vereinzelt mit blitz und donner|Từ phía bắc, nó sẽ ngày càng nhiều mây ở đây và có mưa hoặc vòi hoa sen bị cô lập với đèn flash và sấm sét
SUED REGION KLAR|richtung süden bleibt es meist klar|Nó thường vẫn rõ ràng về phía nam
ALPEN SUEDWEST SONNE BLEIBEN MORGEN POSS SEIN|von den alpen bis in den südwesten hält sich das sonnige und meist trockene wetter morgen noch|Từ dãy núi Alps đến Tây Nam, thời tiết nắng và chủ yếu là ngày mai sẽ kéo dài vào ngày mai
ES BEDEUTET NORD KOENNEN REGEN AUCH TEILWEISE REGEN GEWITTER KOENNEN|ansonsten fällt gebietsweise regen auch einzelne mitunter kräftige gewitter können sich entladen|Nếu không, thậm chí có những cơn giông cá nhân có thể được lưu trữ trong một số trường hợp
SUED SCHWACH WEHEN REGION MAESSIG FRISCH WEHEN|im süden schwacher sonst mäßiger bis frischer und stark böiger westwind|Ở miền Nam, gió Tây ít vừa phải đến và mạnh mẽ
REGEN NAH STURM KOENNEN|in schauer und gewitternähe sind sturmböen möglich|Giảm bão có thể xảy ra trong mưa rào và giông bão
HEUTE NACHT NEUN BIS VIERZEHN SUED FUENF BIS ACHT STERN KOENNEN SEHEN|heute nacht neun bis vierzehn im süden unter klarem himmel fünf bis acht grad|Chín đến mười bốn tối nay ở miền Nam trên bầu trời rõ ràng năm đến tám độ
MORGEN BIS ACHT ZWANZIG GRENZE NORD DEUTSCHLAND VIERZEHN GRAD|am oberrhein morgen bei sonnenschein bis achtundzwanzig an der küste nur frische vierzehn grad|Ở Thượng Rhine vào ngày mai dưới ánh nắng mặt trời lên tới hai mươi -Eight trên bờ biển, chỉ mới mười bốn độ
IM VERLAUF KUEHLER REDUZIEREN WOLKE SONNE DABEI REGEN MEHR ES BEDEUTET SUED KOENNEN REGEN GEWITTER|es wird tag für tag etwas kühler dazu gibt es wolken aber auch mal sonne und immer öfter regen schauer oder vor allem im süden auch teilweise kräftige gewitter|Nó trở nên mát mẻ hơn một chút ngày này qua ngày khác có những đám mây nhưng đôi khi mặt trời và ngày càng nhiều mưa mưa hoặc đặc biệt là ở miền Nam, đôi khi là giông bão mạnh
MORGEN WETTER WIE AUSSEHEN MITTWOCH ZWOELF AUGUST|und nun die wettervorhersage für morgen mittwoch den zwölften august|Và bây giờ dự báo thời tiết cho ngày mai thứ tư
EUROPA NORD REGION TIEF DRUCK KOMMEN|die nordhälfte europas liegt unter tiefdruckeinfluss|Nửa phía bắc của châu Âu đang chịu áp lực thấp
SUEDWEST KOMMEN HOCH KOMMEN|von südwesten macht sich allerdings ein ableger des azorenhochs bemerkbar|Tuy nhiên, từ phía tây nam, một nhánh của Azores High là đáng chú ý
MITTE DEUTSCH LAND GRENZE KOMMEN ALLE DABEI|deutschland liegt genau an der grenze zwischen diesen luftdruckgebieten und bekommt von allem etwas|Đức ở ngay biên giới giữa các khu vực áp suất không khí này và nhận được thứ gì đó từ mọi thứ
SUEDOST HEUTE NACHT SCHAUER|im südosten gibt es heute nacht noch einzelne schauer|Ở phía đông nam vẫn còn những vòi hoa sen cá nhân tối nay
WOLKE KLAR TROCKEN|sonst teils wolkig teils klar und meist trocken|Nếu không một phần rõ ràng rõ ràng và chủ yếu là khô
NORD WOLKE AUFZIEHEN SPAETER DANN BESONDERS NORD REGEN KOENNEN|im norden werden die wolken aber wieder dichter und bringt später vor allem richtung nordsee stellenweise regen|Tuy nhiên, ở miền Bắc, những đám mây trở nên dày đặc hơn và sau đó mang mưa ở những nơi đặc biệt về phía Biển Bắc
HEUTE NACHT TEMPERATUR ZWOELF BIS SECHSZEHN GRAD|in der nacht temperaturen zwischen zwölf und sechzehn grad|Nhiệt độ từ mười hai đến mười sáu độ vào ban đêm
TAG SIEBZEHN SAUER LAND REGION BIS SIEBEN ZWANZIG GRAD REGION|am tag werte von siebzehn grad im sauerland bis siebenundzwanzig grad im breisgau|Vào ban ngày, mười bảy độ ở Sauerland lên tới hai mươi độ ở Breisgau
DONNERSTAG FREITAG WECHSELHAFT SONNE WOLKE REGEN|donnerstag und freitag gibt es teils sonne teils wolken mit schauern|Thứ Năm và Thứ Sáu, có một phần ánh nắng với mưa rào với vòi hoa sen
GEWITTER KOENNEN|örtlich sind auch gewitter dabei|Ngoài ra còn có những cơn bão ở địa phương
SAMSTAG IN KOMMEND NORD DANN WOLKE|am samstag zeigen sich richtung norden noch gelegentlich wolken|Vào thứ bảy vẫn còn những đám mây ở phía bắc
UEBERWIEGEND TROCKEN|aber es bleibt meist trocken|Nhưng nó thường vẫn khô
SUED REGION VIEL SONNE UND HOCH SOMMER PASSEN WARM|im süden scheint häufig die sonne und es wird hochsommerlich warm|Mặt trời thường ở miền Nam và trời ấm áp
JETZT WIE AUSSEHEN WETTER MORGEN FREITAG ZEHNTE SEPTEMBER|und nun die wettervorhersage für morgen freitag den zehnten september|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu, ngày thứ mười tháng 9
DEUTSCH LAND NOCH EINFLUSS TIEF KOMMEN PUNKT MACHEN WECHSELHAFT|noch liegt deutschland im einflussbereich einer umfangreichen tiefdruckzone die für recht wechselhaftes wetter sorgt|Đức vẫn ở trong phạm vi ảnh hưởng của vùng áp suất thấp rộng lớn đảm bảo thời tiết khá thay đổi
PUNKT KOMMEN ZUSAMMEN KOMMEN HOCH SAMSTAG SONNTAG FREUNDLICH SPAET SOMMER WETTER|aber von südwesten dehnt sich ein hoch aus das uns am wochenende verbreitet freundliches und warmes spätsommerwetter beschert|Nhưng từ Tây Nam, nó mở rộng một mức cao khiến chúng ta lan rộng vào cuối tuần, thời tiết cuối mùa hè thân thiện và ấm áp
HEUTE NACHT WOLKE MEHR WENIG MAL SCHAUER OST REGION MIT REGEN TEIL REGION|heute nacht gibt es mal mehr mal weniger wolken und vereinzelte schauer in ostseenähe auch regen gebietsweise bildet sich nebel|Tối nay có nhiều đám mây và vòi sen bị cô lập gần Biển Baltic.
TAG TRUEB SONNE BISSCHEN PUNKT MEHR|am tag ein wechsel aus dichten wolken und etwas sonne die sich im süden öfter mal blicken lässt|Vào ngày thay đổi từ những đám mây dày đặc và một số mặt trời thường có thể được nhìn thấy ở miền Nam
SCHAUER PUNKT BESONDERS|einzelne schauer sind auch dabei die im norden häufiger auftreten|Mưa rào cá nhân cũng phổ biến hơn ở miền Bắc
NACH MITTAG PUNKT AUCH MOEGLICH GEWITTER KURZ|am nachmittag sind dort auch mal kurze gewitter möglich|Vào buổi chiều, có thể có những cơn bão ngắn ở đó
SUED SCHWACH PUNKT MAESSIG WEHEN PUNKT WEHEN|im süden meist schwacher im norden überwiegend mäßiger wind aus südwest bis west|Ở miền Nam chủ yếu ở phía bắc gió chủ yếu từ tây nam sang tây
FLUSS E HEUTE NACHT MAXIMAL DREIZEHN PUNKT ALPEN MAXIMAL SIEBEN|an spree und ems heute nacht bis dreizehn am alpenrand nur sieben grad|trên Spree và EMS tối nay lên đến mười ba trên rìa dãy Alps chỉ có bảy độ
MORGEN SIEBZEHN EINS ZWANZIG ZWEI ZWANZIG GRAD|morgen siebzehn bis einundzwanzig am oberrhein bis zweiundzwanzig grad|Ngày mai mười bảy đến hai mươi -một ở Thượng Rhine lên đến hai mươi độ
SAMSTAG BESONDERS VERBREITEN SONNE PUNKT WOLKE PUNKT MOEGLICH REGEN|am samstag scheint verbreitet die sonne im norden teilweise dichtere wolken die in küstennähe etwas regen bringen|Vào thứ bảy, mặt trời ở phía bắc dường như là những đám mây dày đặc hơn mang lại mưa gần bờ biển
SONNTAG SUEDOST FREUNDLICH SCHAUER GEWITTER KOMMEN|am sonntag in der südosthälfte meist freundlich während sich im nordwesten wolken mit schauern oder gewittern breit machen|Vào Chủ nhật ở nửa phía đông nam, chủ yếu là thân thiện khi ở phía tây bắc những đám mây lan rộng với mưa rào hoặc giông bão
MONTAG IM VERLAUF WECHSELHAFT MEHR KUEHL|die neue woche startet wechselhaft und wieder kühler|Tuần mới bắt đầu thay đổi và mát hơn
LIEB GUT ABEND|liebe zuschauer guten abend|Người xem thân mến Chào buổi tối
HEUTE ENORM WETTER ENORM|heute ging es ordentlich zur sache beim wetter|Ngày nay mọi thứ diễn ra đúng thời tiết
HEUTE MITTAG ANFANG STARK GEWITTER NACH WIRBELSTURM DABEI DOCH SEHEN|seit heute mittag heftige gewitter unterwegs sogar ein tornado wurde schon gesichtet|Kể từ buổi chiều, những cơn bão dữ dội thậm chí đã được phát hiện một cơn lốc xoáy
FRANKFURT KOENNEN SEHEN NEG TEIL NEG SEHEN NEG NULL SEHEN|und wir sehen es auch hier in frankfurt zeitweise die sicht auch gleich null|Và đôi khi chúng ta thấy nó ở đây trong Frankfurt, quan điểm quá 0
SO KOMMEN DARUM STARK GEWITTER HEUTE NACHT NORDOST KOMMEN WEITER GEWITTER DAZU MEISTENS REGEN REGION|und in diesem prozess sind diese heftigen gewitter entstanden die heute nacht dann einmal richtung nordosten abziehen aber im südosten bleibt es gewittrig und dazu kommt auch noch kräftiger regen|Và trong quá trình này, những cơn bão dữ dội này đã được tạo ra sau đó kéo ra phía đông bắc tối nay, nhưng ở phía đông nam nó vẫn còn sấm sét và cũng có mưa lớn
SO STARK REGEN REGION MORGEN AUCH TEIL BLEIBEN REGEN SUEDOST REGEN TEIL GEWITTER HABEN ORT MOEGLICH UEBERSCHWEMMUNG GEFAHR|und dieser starker regen der wird auch morgen zum teil noch anhalten im südosten auch es gibt noch einzelne gewitter durchaus lokal also überschwemmungsgefahr|Và cơn mưa lớn này vẫn sẽ dừng lại vào ngày mai ở phía đông nam, vẫn còn những cơn bão cá nhân tại địa phương, tức là có nguy cơ lũ lụt
SUEDWEST MEHR FREUNDLICH SCHOEN NORDWEST TAG KOMMEN STARK GEWITTER MOEGLICH REGEN GEWITTER|von südwesten wird es freundlicher und in den nordwesten ziehen im laufe des tages wieder kräftige schauer und vereinzelt gewitter|Từ phía tây nam, nó trở nên thân thiện hơn và ở Tây Bắc kéo lại vào ban ngày tắm mạnh và thỉnh thoảng giông bão
ABER MORGEN BISSCHEN SINKEN TEMPERATUR SIEBZEHN GRAD BERG VIER ZWANZIG L REGION BESONDERS ANGENEHM|aber auf jeden fall kann man morgen mal durchatmen die temperaturen zwischen siebzehn grad am alpenrand und vierundzwanzig in der lausitz ganz angenehm|Nhưng trong mọi trường hợp, bạn có thể hít một hơi thật sâu vào ngày mai, nhiệt độ giữa mười bảy độ ở rìa của dãy Alps và hai mươi lusatia ở Lusatia
IN KOMMEND TAG WAHRSCHEINLICH BISSCHEN KUEHL DANN KOMMEN BESSER|und die nächsten tage werden nach etwas kühlerem start eigentlich auch wieder ganz freundlich|Và vài ngày tới sẽ thực sự rất thân thiện sau khi bắt đầu hơn một chút
NAECHSTE SONNTAG DANN SUED REGION STEIGEN WARM|und zum sonntag wird es dann sogar auch von süden her wieder deutlich wärmer|Và vào Chủ nhật, nó thậm chí sẽ ấm hơn đáng kể từ miền Nam
JETZT SCHOEN ABEND NOCH POSS EUCH|jetzt wünsche ich ihnen noch einen schönen abend|Bây giờ tôi chúc bạn một buổi tối tốt đẹp
JETZT WETTER VORAUS MORGEN SAMSTAG SECHS ZWANZIG NOVEMBER|und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten november|Và bây giờ dự báo thời tiết cho ngày mai thứ Bảy
